Date,AAPL,MSFT,JNJ,PFE,XOM,CVX,JPM,GS,WMT,PG,TM,F,AMZN,TGT,BA
2012-08-07,18.74821662902832,24.280466079711914,49.21761703491211,14.48966121673584,54.017189025878906,68.61373138427734,26.709463119506836,83.23284149169922,19.113140106201172,47.17169189453125,72.41548156738281,5.367220878601074,11.82800006866455,44.86553955078125,61.64578628540039
2012-08-08,18.71651268005371,24.336637496948242,49.260868072509766,14.54458236694336,54.23836135864258,68.73015594482422,26.817699432373047,82.6362533569336,19.299617767333984,47.527862548828125,71.75064086914062,5.390279769897461,11.718999862670898,45.080413818359375,61.761714935302734
2012-08-09,18.8232479095459,24.473039627075195,49.23924255371094,14.568997383117676,54.541385650634766,69.03050231933594,26.644506454467773,83.5230712890625,19.180145263671875,47.53499984741211,72.30025482177734,5.384515762329102,11.70300006866455,44.90134811401367,61.49677658081055
2012-08-10,18.85266876220703,24.40885353088379,49.469871520996094,14.611729621887207,54.689796447753906,69.59434509277344,26.680591583251953,83.0554428100586,19.1359920501709,47.5634880065918,72.23819732666016,5.390279769897461,11.637499809265137,45.008792877197266,61.43883514404297
2012-08-13,19.10436248779297,24.384777069091797,49.34014129638672,14.477447509765625,54.50428009033203,69.42887878417969,26.695022583007812,83.53112030029297,19.063276290893555,47.35691452026367,71.79496765136719,5.419105052947998,11.621999740600586,45.03038787841797,61.42226028442383
2012-08-14,19.155603408813477,24.33631706237793,49.469871520996094,14.636138916015625,54.541385650634766,69.45342254638672,26.77440643310547,83.24896240234375,19.221704483032227,47.53499984741211,71.21875,5.442165374755859,11.659500122070312,45.65711975097656,61.10768508911133
2012-08-15,19.12952423095703,24.39286231994629,49.260868072509766,14.672761917114258,54.417686462402344,69.54605102539062,26.752765655517578,83.1441421508789,19.335981369018555,47.47087860107422,71.103515625,5.4709906578063965,11.871000289916992,46.463932037353516,60.857791900634766
2012-08-16,19.296613693237305,24.861328125,49.152748107910156,14.660550117492676,54.832008361816406,70.00943756103516,26.77440643310547,83.43437194824219,18.738622665405273,47.72732162475586,72.9651107788086,5.528640270233154,12.077500343322754,46.038909912109375,61.33253860473633
2012-08-17,19.65353775024414,24.958253860473633,48.86447525024414,14.520172119140625,54.665077209472656,69.60166931152344,26.68780517578125,83.5230712890625,18.69707489013672,47.72732162475586,73.19558715820312,5.551700592041016,12.058500289916992,46.204593658447266,61.55741882324219
2012-08-20,20.170265197753906,24.829017639160156,48.79240036010742,14.593417167663574,54.38677215576172,69.51515197753906,26.96925926208496,84.87748718261719,18.777587890625,47.54924011230469,72.39775085449219,5.551700592041016,12.017499923706055,45.84440612792969,61.49079895019531
2012-08-21,19.894609451293945,24.877477645874023,48.850059509277344,14.459138870239258,54.083763122558594,69.18155670166016,27.452789306640625,84.90972137451172,18.551631927490234,47.5634880065918,72.60164642333984,5.4940505027771,11.97249984741211,46.19739532470703,61.024383544921875
2012-08-22,20.28307342529297,24.667478561401367,48.82843017578125,14.46524429321289,54.25077438354492,69.28660583496094,27.301246643066406,84.38571166992188,18.639928817749023,47.6204833984375,73.09806823730469,5.4709906578063965,12.154999732971191,45.87321853637695,60.63292694091797
2012-08-23,20.093843460083008,24.441320419311523,48.821231842041016,14.48966121673584,53.99102020263672,68.75527954101562,26.86823272705078,83.91006469726562,18.585397720336914,47.49937438964844,72.74349212646484,5.447929382324219,12.0600004196167,45.376182556152344,58.6007194519043
2012-08-24,20.111740112304688,24.683626174926758,49.16303253173828,14.654454231262207,54.4486198425293,69.2000961303711,26.82493019104004,84.61949920654297,18.728242874145508,47.741573333740234,73.11579895019531,5.4709906578063965,12.286999702453613,45.88042449951172,59.208709716796875
2012-08-27,20.48958396911621,24.788637161254883,49.08302688598633,14.58120346069336,54.25691604614258,69.0271224975586,26.86823272705078,84.74847412109375,18.82953643798828,47.80569076538086,72.32683563232422,5.413339614868164,12.196000099182129,45.6427116394043,59.450252532958984
2012-08-28,20.4628963470459,24.740171432495117,49.09758758544922,14.556793212890625,54.47951126098633,69.41015625,26.79606056213379,85.04811096191406,18.80615234375,47.72018814086914,71.7063217163086,5.384515762329102,12.305500030517578,45.96688461303711,59.56686782836914
2012-08-29,20.422561645507812,24.756319046020508,48.995765686035156,14.623930931091309,54.35586929321289,69.07035827636719,26.918746948242188,85.45298767089844,18.899648666381836,47.63471603393555,71.80382537841797,5.372983455657959,12.355999946594238,46.29104995727539,59.50025177001953
2012-08-30,20.13144874572754,24.48978614807129,48.879398345947266,14.550690650939941,53.9229850769043,68.53286743164062,26.630081176757812,84.79708862304688,18.76460075378418,47.641845703125,71.1212387084961,5.367220878601074,12.310999870300293,46.21901321411133,58.983848571777344
2012-08-31,20.172990798950195,24.89363670349121,49.03940200805664,14.562894821166992,53.984832763671875,69.29277038574219,26.803272247314453,85.6068344116211,18.85550308227539,47.86266326904297,70.58051300048828,5.384515762329102,12.41349983215332,46.168582916259766,59.46691131591797
2012-09-04,20.468042373657227,24.546314239501953,48.9157600402832,14.514071464538574,53.87351608276367,68.71206665039062,26.709463119506836,86.16556549072266,19.091842651367188,48.01227951049805,69.79154205322266,5.42487096786499,12.394000053405762,45.988487243652344,59.02548599243164
2012-09-05,20.324310302734375,24.546314239501953,48.923030853271484,14.599515914916992,54.00338363647461,68.43402862548828,26.78162384033203,89.02397155761719,19.102231979370117,47.933902740478516,69.53446960449219,5.517109394073486,12.310999870300293,45.909244537353516,59.90000534057617
2012-09-06,20.50747299194336,25.321725845336914,49.337581634521484,14.855866432189941,55.02988815307617,69.83025360107422,27.92188262939453,91.9390869140625,19.429468154907227,48.610626220703125,71.2010269165039,5.7188849449157715,12.569000244140625,46.723262786865234,60.649593353271484
2012-09-07,20.633922576904297,24.998641967773438,49.36667251586914,14.794830322265625,55.60499572753906,70.42953491210938,28.362104415893555,94.19830322265625,19.17235565185547,48.810081481933594,72.39775085449219,5.845715522766113,12.956999778747559,46.103755950927734,60.7078857421875
2012-09-10,20.097179412841797,24.812864303588867,49.5848503112793,14.709378242492676,55.33292007446289,70.40479278564453,27.97240447998047,92.86222839355469,19.091842651367188,48.80298614501953,72.41548156738281,5.828419208526611,12.854499816894531,46.6800422668457,59.20038604736328
2012-09-11,20.031982421875,24.869403839111328,49.59939193725586,14.752103805541992,55.41947555541992,70.5407485961914,28.578615188598633,94.48978424072266,19.234691619873047,48.6248893737793,72.06975555419922,5.851480007171631,12.783499717712402,46.44953155517578,59.358638763427734
2012-09-12,20.31096649169922,24.861328125,49.56303024291992,14.691064834594727,55.376190185546875,70.72607421875,28.809539794921875,95.74491119384766,19.237289428710938,48.51091384887695,72.75234985351562,5.886068344116211,12.781499862670898,46.37748336791992,59.10043716430664
2012-09-13,20.710948944091797,24.990558624267578,50.1739387512207,14.800935745239258,56.41507339477539,72.01109313964844,29.877639770507812,97.71260833740234,19.515186309814453,49.087913513183594,73.52357482910156,5.9610161781311035,13.01200008392334,46.867340087890625,59.61682891845703
2012-09-14,20.962636947631836,25.208642959594727,49.79575729370117,14.526280403137207,57.07674789428711,72.43739318847656,30.000320434570312,98.27134704589844,19.348968505859375,49.265995025634766,73.73632049560547,6.070550918579102,13.06350040435791,46.5864143371582,59.36696243286133
2012-09-17,21.22039222717285,25.208642959594727,49.6357536315918,14.660550117492676,56.835594177246094,72.36944580078125,29.726089477539062,97.08910369873047,19.216508865356445,49.33011245727539,72.16728973388672,5.989840984344482,12.899999618530273,46.399112701416016,58.2342643737793
